TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
101023951,101023A,0.468,0.025,FALSE,0.130,0.011,76.801,8.256,-14.464,114.560,0.29,0.08,NA
101024486,101024A,0.102,0.040,FALSE,0.065,0.006,20.224,2.828,-13.908,26.329,0.65,0.42,NA
101025146,101025A,0.503,0.184,FALSE,0.369,0.032,14.336,1.846,-8.896,19.600,0.93,0.69,NA
101026034,101026A,0.017,0.010,FALSE,0.011,0.001,0.256,0.091,-0.256,0.256,0.56,0.36,NA
101027230,101027A,0.022,0.007,FALSE,0.014,0.001,1.344,1.802,-1.947,0.733,0.88,0.54,NA
101030664,101030A,9.810,NA,TRUE,2.087,0.181,95.746,4.375,-69.633,54.959,0.79,0.25,NA
101031625,101031A,0.014,NA,TRUE,0.007,0.001,0.384,0.462,-0.252,0.511,0.54,0.52,NA
101101744,101101A,0.059,0.021,FALSE,0.039,0.003,3.328,2.862,-3.955,2.685,0.38,0.25,NA
101101899,101101B,3.682,1.935,FALSE,1.755,0.152,31.232,1.619,-20.063,37.382,0.42,0.2,NA
101102840,101102A,3.802,NA,TRUE,0.738,0.064,43.520,6.676,-23.251,63.354,0.55,0.33,NA
101104810,101104A,0.148,NA,TRUE,0.055,0.005,1.280,0.572,-1.146,1.402,0.54,0.41,NA
101107011,101107A,0.849,NA,TRUE,0.310,0.027,375.814,8.444,-31.567,378.118,0.38,0.36,NA
101112924,101112A,0.390,0.086,FALSE,0.155,0.013,9.472,2.996,-8.691,8.243,0.47,0.19,NA
101112984,101112B,5.121,NA,TRUE,1.476,0.128,82.944,1.717,-28.320,91.114,0.66,0.28,NA
101113483,101113A,1.198,NA,TRUE,0.261,0.023,12.288,0.572,-4.501,18.095,0.66,0.22,NA
101116481,101116A,0.088,0.034,FALSE,0.055,0.005,0.576,0.820,-0.416,0.732,0.97,0.6,NA
101117496,101117C,0.470,0.093,FALSE,0.261,0.023,50.177,1.639,-5.184,73.065,0.45,0.25,NA
101119685,101119A,0.404,NA,TRUE,0.078,0.007,0.640,0.607,-0.637,0.637,1.14,0.62,NA
101123952,101123A,0.077,NA,TRUE,0.014,0.001,103.938,0.724,-4.124,163.187,0.22,0.07,NA
101126198,101126A,0.177,NA,TRUE,0.039,0.003,43.837,1.747,-11.444,65.679,0.14,0.06,NA
101127093,101127A,2.765,1.240,FALSE,1.476,0.128,29.440,4.471,-17.812,40.774,0.83,0.44,NA
101127102,101127B,5.416,0.520,FALSE,1.755,0.152,60.672,7.322,-30.731,85.736,0.65,0.21,NA
101128322,101128A,1.624,NA,TRUE,0.310,0.027,8.192,1.493,-6.877,9.401,0.61,0.28,NA
101129652,101129A,0.018,0.005,FALSE,0.011,0.001,0.384,0.143,-0.252,0.511,0.53,0.34,NA
101129726,101129B,0.024,NA,TRUE,0.005,0.001,0.576,0.143,-0.346,0.796,0.57,0.35,NA
101130074,101130B,3.312,0.561,FALSE,2.087,0.181,4.864,2.769,-4.714,4.958,1.05,0.66,NA
101201418,101201A,0.844,0.329,FALSE,0.261,0.023,112.639,7.455,-33.282,139.026,0.24,0.07,NA
101202154,101202A,1.458,NA,TRUE,0.877,0.076,18.432,3.665,-9.130,27.526,0.83,0.95,NA
101204343,101204B,0.015,0.003,FALSE,0.007,0.001,0.128,0.091,-0.128,0.128,0.71,0.32,NA
101205309,101205A,3.249,NA,TRUE,0.738,0.064,7.936,5.938,-7.776,8.064,1.06,0.51,NA
101206036,101206A,0.813,NA,TRUE,0.130,0.011,34.813,5.837,-17.091,52.161,0.66,0.22,NA
101207536,101207A,0.068,0.028,FALSE,0.046,0.004,61.441,3.727,-6.013,94.134,0.5,0.34,NA
101208498,101208B,0.097,0.010,FALSE,0.033,0.003,2.048,0.951,-1.658,2.422,0.37,0.13,NA
101211485,101211A,1.092,0.435,FALSE,0.522,0.045,13.568,7.030,-9.536,17.448,0.42,0.2,NA
101213451,101213A,5.901,NA,TRUE,0.877,0.076,45.057,1.950,-22.252,67.828,0.9,0.19,0.414
101213849,101213B,0.069,0.022,FALSE,0.046,0.004,6.656,1.145,-5.095,8.185,0.39,0.26,NA
101214748,101214A,0.038,NA,TRUE,0.007,0.001,2.240,2.084,-2.517,1.941,0.92,0.58,NA
101216721,101216A,0.105,NA,TRUE,0.027,0.002,1.917,0.551,-0.954,2.864,0.2,0.12,NA
